indCol,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
65,Michy Batshuayi,Crystal Palace,EPL,11,766,5,5,0,3.6997953336685896,0.10409866087138653,3.6997953336685896,0.43470180160597005,0.012230913157212517,0.43470180160597005,F S,27,2,0,0,1.5456311460584402,5.173523511737585
66,Abdoulaye Doucouré,Watford,EPL,35,3062,5,5,6,6.849441897124052,5.389012933708727,6.849441897124052,0.2013225900526338,0.15839685304826437,0.2013225900526338,M S,51,38,7,0,6.46834053657949,16.311387384310365
67,Álvaro Morata,Chelsea,EPL,16,951,5,5,0,6.410967104136944,0.21485695615410805,6.410967104136944,0.6067161297290483,0.020333465882092245,0.6067161297290483,F S,35,7,3,0,1.6989031732082367,7.6419592425227165
68,Víctor Camarasa,Cardiff,EPL,32,2606,5,4,4,3.907942879013717,3.626392999663949,3.146774041466415,0.13496349160062723,0.12523997312730445,0.10867600296699054,M S,41,50,6,0,4.113611032254994,7.982398683205247
69,Ryan Babel,Fulham,EPL,16,1276,5,5,3,5.748053716495633,2.5484040305018425,5.748053716495633,0.40542698627320295,0.17974636578774753,0.40542698627320295,F M S,27,23,3,0,4.03754279948771,10.397959539666772
70,Shane Duffy,Brighton,EPL,35,3087,5,5,1,3.3823358304798603,0.265911515802145,3.3823358304798603,0.09861037406646823,0.007752522326593149,0.09861037406646823,D,37,7,4,1,2.714450053870678,3.0718250116333365
71,Bobby Reid,Cardiff,EPL,27,1414,5,4,2,3.8045969121158123,1.058872975409031,3.04342807456851,0.24215963372731478,0.06739644115050408,0.1937118293572602,F M S,27,16,0,0,2.006671106442809,4.874457709491253
72,Fabian Schär,Newcastle United,EPL,24,2007,4,4,1,2.165339669212699,0.7358655799180269,2.165339669212699,0.09710043359698202,0.03299845649856623,0.09710043359698202,D S,25,11,12,0,4.6570072108879685,5.651489558629692
73,Granit Xhaka,Arsenal,EPL,29,2511,4,4,2,1.881140892393887,3.5157328164204955,1.881140892393887,0.0674244047453006,0.1260119289039604,0.0674244047453006,D M,29,40,10,0,12.580721326172352,15.243713524192572
74,Pierre-Emile Højbjerg,Southampton,EPL,31,2770,4,4,3,2.2558479895815253,2.3478175159543753,2.2558479895815253,0.07329470002250443,0.07628287957974504,0.07329470002250443,M,53,28,7,2,7.335340930148959,10.258456008508801
75,Aaron Ramsey,Arsenal,EPL,28,1326,4,4,6,3.7076629493385553,2.303655330091715,3.7076629493385553,0.2516513314030694,0.15635669661255983,0.2516513314030694,M S,33,25,0,0,3.6836593626067042,8.951478814706206
76,Jesse Lingard,Manchester United,EPL,27,1677,4,3,2,4.844160245731473,3.1564249978400767,4.082991348579526,0.25997282177449765,0.16939669040286637,0.21912297040677242,F M S,32,17,3,0,5.214572966098785,10.800287239719182
77,Nathan Aké,Bournemouth,EPL,38,3414,4,4,0,4.548658574000001,1.3218236602842808,4.548658574000001,0.11991191319859405,0.034845966439831656,0.11991191319859405,D M,25,7,3,0,7.666224240325391,8.874473712407053
78,Erik Lamela,Tottenham,EPL,19,969,4,4,2,3.7640355844050646,2.165191598236561,3.7640355844050646,0.3496008282729162,0.2011013868331171,0.3496008282729162,M S,29,23,2,0,3.9675889927893877,8.188834078609943
79,N&#039;Golo Kanté,Chelsea,EPL,36,3103,4,4,4,3.033728029578924,3.73298922739923,3.033728029578924,0.08799082264328172,0.10827232693068987,0.08799082264328172,M,29,46,3,0,12.484974737279117,17.044977441430092
80,Jeffrey Schlupp,Crystal Palace,EPL,30,1650,4,4,1,3.30349394492805,1.4070401089265943,3.30349394492805,0.18019057881425726,0.07674764230508696,0.18019057881425726,F M S,28,16,1,0,3.319331794977188,7.353200105950236
81,Demarai Gray,Leicester,EPL,34,2009,4,4,1,4.561489956453443,0.9842575620859861,4.561489956453443,0.2043474843607814,0.044093171024260205,0.2043474843607814,F M S,47,17,2,0,4.204088659957051,9.41732171177864
82,Virgil van Dijk,Liverpool,EPL,38,3388,4,4,2,3.5105454893782735,1.2659120308235288,3.5105454893782735,0.09325534062693171,0.03362812360511145,0.09325534062693171,D,31,7,1,0,16.656997345387936,17.472352009266615
83,Lucas Digne,Everton,EPL,35,2968,4,4,4,1.199989851564169,7.7085179118439555,1.199989851564169,0.0363878324261372,0.2337488585127884,0.0363878324261372,D M S,34,71,5,1,5.53166626021266,9.515081945806742
84,Sol Bamba,Cardiff,EPL,28,2476,4,4,1,4.121445272117853,0.14328687265515327,4.121445272117853,0.14981020779103665,0.005208327358224473,0.14981020779103665,D M,22,4,7,0,1.669757996685803,2.9724218621850014
85,Nathaniel Mendez-Laing,Cardiff,EPL,20,980,4,3,1,2.1614769492298365,1.2976202052086592,1.4003081116825342,0.19850298513335232,0.11916920251916258,0.12859972454227356,M S,20,19,0,0,0.42888141609728336,2.9424203177914023
86,Callum Paterson,Cardiff,EPL,27,1987,4,4,1,4.948024466633797,2.8674475895240903,4.948024466633797,0.22411786713489767,0.12987935735136796,0.22411786713489767,F M S,41,23,4,0,1.3204650627449155,5.481852526776493
87,Willy Boly,Wolverhampton Wanderers,EPL,36,3168,4,4,0,3.634888389147818,1.56681271456182,3.634888389147818,0.10326387469169938,0.04451172484550625,0.10326387469169938,D,23,11,2,1,5.9656675681471825,7.4878830797970295
88,Matt Doherty,Wolverhampton Wanderers,EPL,38,3145,4,4,5,5.275961845181882,5.037374325096607,5.275961845181882,0.15098142005289966,0.14415379626667557,0.15098142005289966,M S,46,38,5,0,7.995736856944859,13.514683422632515
89,Rúben Neves,Wolverhampton Wanderers,EPL,35,3014,4,2,3,3.393738809041679,1.8831316344439983,1.8714011190459132,0.10133924778160289,0.05623153520237553,0.05588125438425089,M S,74,24,8,0,8.176535649225116,10.348721410147846
90,Karlan Grant,Huddersfield,EPL,13,868,4,4,0,3.2763585709035397,0.26734316907823086,3.2763585709035397,0.3397145983655744,0.027719913844517025,0.3397145983655744,F M S,21,8,0,0,0.2814026940613985,3.6710612140595913
91,Pascal Groß,Brighton,EPL,25,1896,3,2,3,4.143626760691404,5.608689467422664,2.6212890855968,0.1966911437037059,0.26623525952955684,0.12442827937959493,M S,24,54,1,0,2.3560394374653697,6.614904932677746
92,Divock Origi,Liverpool,EPL,12,357,3,3,1,2.2430995739996433,0.18801140412688255,2.2430995739996433,0.5654872875629353,0.04739783297316367,0.5654872875629353,F S,13,3,0,0,0.6994131207466125,1.4092786479741335
93,Laurent Koscielny,Arsenal,EPL,17,1326,3,3,0,2.112584164366126,0.12015959993004799,2.112584164366126,0.14338806545471444,0.008155628954528144,0.14338806545471444,D S,5,2,1,0,3.851031471043825,3.885790169239044
94,Alex Iwobi,Arsenal,EPL,35,1974,3,3,6,3.7199750300496817,7.637422041036189,3.7199750300496817,0.1696037247743016,0.3482107313542335,0.1696037247743016,F M S,35,40,0,0,9.561200166121125,18.207133054733276
95,Juan Mata,Manchester United,EPL,22,1306,3,3,2,1.5762359164655209,3.70042721927166,1.5762359164655209,0.10862268949609255,0.25500646993449416,0.10862268949609255,F M S,19,30,3,0,2.195552780292928,5.144089694134891
